pitcher,avg_exit_velocity_allowed,max_exit_velocity_allowed,avg_launch_angle_allowed,batted_balls_allowed
664285,84.22941176470589,107.9,-7.382352941176471,34
622088,84.22222222222223,101.1,9.777777777777779,9
542888,84.148,107.0,15.28,25
607259,84.1148148148148,107.3,20.962962962962962,27
668942,84.08888888888889,105.0,35.888888888888886,9
676092,84.08571428571429,104.1,1.1428571428571428,7
677960,84.07368421052632,107.2,24.210526315789473,19
502179,84.06153846153846,107.9,15.923076923076923,13
671212,84.04418604651163,107.6,20.88372093023256,43
552640,84.0,110.1,6.25,8
542882,83.98888888888888,108.8,8.666666666666666,9
695243,83.96363636363637,99.5,26.181818181818183,11
670280,83.91764705882352,109.6,18.352941176470587,17
686826,83.9,103.8,22.375,16
656557,83.87254901960785,112.8,5.764705882352941,51
678394,83.8625,108.0,3.2083333333333335,24
676775,83.85862068965517,108.8,10.827586206896552,58
673929,83.85000000000001,99.9,27.642857142857142,14
656302,83.74375,106.2,23.34375,32
592288,83.68947368421053,114.9,11.473684210526315,19
676106,83.53148148148148,105.3,15.185185185185185,54
607625,83.51515151515152,105.6,4.909090909090909,33
666974,83.49545454545455,111.3,-14.909090909090908,22
683232,83.49375,105.5,10.625,16
673513,83.47333333333333,104.9,15.666666666666666,15
598264,83.46666666666667,107.1,5.866666666666666,15
656266,83.4625,111.2,4.0,8
656629,83.42,104.7,41.4,20
663567,83.41034482758621,107.9,19.93103448275862,29
450203,83.32333333333332,102.4,18.666666666666668,30
675627,83.26923076923077,108.6,3.576923076923077,26
669456,83.25,105.9,12.791666666666666,24
641712,83.17538461538462,110.9,17.06153846153846,65
656288,83.15862068965517,105.2,14.379310344827585,29
663623,83.15333333333334,107.9,6.6,30
656605,83.13214285714285,110.4,9.821428571428571,28
657746,83.12702702702703,107.0,20.56756756756757,37
666277,83.1263157894737,113.1,36.473684210526315,19
608331,83.10571428571428,114.4,11.571428571428571,35
622663,83.10000000000001,103.0,20.029411764705884,34
605130,83.06666666666666,100.6,-9.0,9
